vessel_id,registry_craft_code
1,2111929706
2,END
3,2103733967
4,2101598783
5,2100848266
6,2099678900
7,2098282982
8,2098278268
9,2097055927
10,2095602772
11,2095584406
12,2081111734
13,2078057370
14,2073963909
15,2073761092
16,2067576932
17,1997146666
18,1978878309
19,1972496026
20,1906242350
21,1896915247
22,1882261672
23,1850452968
24,1828359696
25,1823726225
26,1690151765
27,1652536185
28,1651428064
29,1651057521
30,1614691402
31,1614338189
32,1593034911
33,1568681381
34,5158
35,5400
36,6224
37,6317
38,8178
39,8858
40,16120
41,1231899
42,1232224
43,1264369
44,2267600
45,2268424
46,3823883
47,6304183
48,6969214
49,6998247
50,13204814
51,17696880
52,21428133
53,31966392
54,32411022
55,33710375
56,51666898
57,56660617
58,62935715
59,68372833
60,69024927
61,71327631
62,80483491
63,81094642
64,94706916
65,98230774
66,101607926
67,124018568
68,133291439
69,134551666
70,142392674
71,147766213
72,186848349
73,195404345
74,211012408
75,213528269
76,238533984
77,241436690
78,278405962
79,283718524
80,294303839
81,298777342
82,299905849
83,309513318
84,329858920
85,381463651
86,392681394
87,396938598
88,409882486
89,415048233
90,423173106
91,431089213
92,461089385
93,482336801
94,497962342
95,519418185
96,551006032
97,591468419
98,593453862
99,598031009
100,598050350
101,599531224
102,600688508
103,602208633
104,641534938
105,645113531
106,704986894
107,744529067
108,776204540
109,777112208
110,788118231
111,837314399
112,922993375
113,940213905
114,947248525
115,957632912
116,1021589479
117,1063021716
118,1068122691
119,1068127460
120,1071637843
121,1071637958
122,1075265258
123,1088511114
124,1099370042
125,1117365174
126,1153108058
127,1181279253
128,1190157220
129,1197306809
130,1241285586
131,1260961171
132,1272784778
133,1274726756
134,1305540111
135,1327266507
136,1364051789
137,1367677637
138,1368424523
139,1372496119
140,1381111540
141,1382038311
142,1391442251
143,1419538993
144,1456844300
145,1474852447
146,1475786532
147,1478380863
148,1479033159
149,1494487618
150,1495627644
151,1520321660
152,1551112156
153,1559920622
154,1575950171
155,1605758126
156,1607582370
157,1622558095
158,1633887096
159,1663651413
160,1687885499
161,1689310925
162,1693454465
163,1770501304
164,1791689450
165,1815523321
166,1907566592
167,1911617412
168,1935136492
169,1943761028
170,1950551301
171,2060620353
172,2060708960
173,2079751672
174,2092354231
175,2136288535
176,2138571255
177,2761009775
178,2801774404
179,2833356327
180,2875564891
181,2905964523
182,2957815608
183,2985920002
184,2989819657
185,3002692680
186,3089600688
187,3103255166
188,3121532741
189,3225044101
190,3225545214
191,3370431041
192,3426373929
193,3435794655
194,3444964911
195,3451541484
196,3456106315
197,3501240013
198,3513096979
199,3528754962
200,3530673085
201,3540551355
202,3555193780
203,3585421446
204,3625914666
205,3626204706
206,3668760565
207,3728848838
208,3791625050
209,3850282874
210,4061791363
211,4068128023
212,4082061143
213,4091265252
214,4108510898
215,4222340473
216,4287065908
217,4426948940
218,4442610645
219,4703279612
220,4704346993
221,4731748349
222,4832359846
223,4926231485
224,4960131816
225,4976303158
226,4997193968
227,5131093924
228,5134699964
229,5244417341
230,5333230520
231,5536969319
232,5575484819
233,5659344305
234,5767545614
235,6018917368
236,6086263598
237,6101443783
238,6302639780
239,6378861718
240,6777812056
241,6786730677
242,6816259050
243,6816398112
244,6845827570
245,6947770973
246,6975965966
247,7241776726
248,7242592341
249,7253358987
250,7379874219
251,7524802103
252,7567280408
253,7618815424
254,7935886861
255,8018673300
256,8119473396
257,8406615555
258,8568232416
259,8570561133
260,8651723069
261,8737009650
262,8792360699
263,8825932805
264,8837862901
265,9010226658
266,9117280083
267,9262585618
268,9487454781
269,9645536515
270,10469984704
271,10674816731
272,10972040427
273,11017579535
274,11187106944
275,11211883296
276,11225942818
277,11485511838
278,11701240601
279,11789446410
280,11810161008
281,11850684584
282,11937569896
283,11957512828
284,12131264895
285,12194310290
286,12269490863
287,12298710586
288,12437714170
289,12759201401
290,13122529521
291,13160354237
292,13168202532
293,13234787411
294,13270777237
295,13403665940
296,13561067656
297,13615251209
298,13673376832
299,13766739340
300,2140735270
301,2108182260
302,2092718743
303,2055085260
304,2043170135
305,2028579929
306,2006757445
307,1983056670
308,1980031513
309,1918180271
310,1860976667
311,1856645997
312,1845704296
313,1802568941
314,1721820972
315,1681626598
316,1593413794
317,1567561259
318,4544
319,6683
320,7685
321,8083
322,8737
323,8983
324,13146
325,13870
326,108487
327,273379
328,478729
329,1861123
330,1861312
331,2628600
332,9856238
333,10776827
334,21439713
335,35445286
336,40794318
337,71529430
338,80129715
339,86329856
340,90183162
341,98117069
342,102399984
343,104788958
344,114866446
345,123627041
346,124519444
347,128134867
348,170964064
349,188200644
350,194658721
351,203579080
352,217116061
353,225002632
354,260281027
355,317231710
356,360910417
357,361986029
358,402248886
359,430610780
360,528550646
361,543418353
362,600956496
363,602927854
364,785709458
365,798956394
366,802950293
367,810897853
368,834334752
369,854675811
370,866069543
371,893303808
372,946752936
373,965050542
374,985025996
375,994891366
376,1000718682
377,1000828301
378,1003561479
379,1004650683
380,1006537219
381,1056180558
382,1057907993
383,1071863801
384,1103336549
385,1122885629
386,1150204173
387,1161212110
388,1195096057
389,1197234778
390,1206647308
391,1287343836
392,1313565646
393,1367265315
394,1371856760
395,1446939598
396,1470207932
397,1494491206
398,1510409227
399,1528513886
400,1531847865
401,1561958382
402,1598530294
403,1600587790
404,1673553272
405,1716367908
406,1768515390
407,1802427120
408,1839773425
409,1861481143
410,1884247361
411,1990258969
412,2064212459
413,2078760239
414,2105627784
415,2129486409
416,2766460251
417,2847047176
418,2933448793
419,2982449886
420,3072404010
421,3135928465
422,3137630875
423,3141388715
424,3247975388
425,3277559596
426,3286579208
427,3364312373
428,3385189472
429,3663845591
430,3810279714
431,3952887148
432,4037972920
433,4222329520
434,4283145053
435,4352624844
436,4378484875
437,4688258588
438,4749513966
439,4765342128
440,4818580153
441,4822502608
442,4854078088
443,4920643570
444,5224911739
445,5231515943
446,5250856010
447,5290506924
448,5376510496
449,5438978372
450,5689664994
451,5737385153
452,5868565533
453,5956653227
454,2138074829
455,2119181398
456,2091486670
457,2085655264
458,2073879201
459,2068797612
460,2059827892
461,2056028225
462,2055340297
463,2050060518
464,1999254466
465,1992244408
466,1952184678
467,1940207605
468,1924949441
469,1903046831
470,1901959894
471,1806106822
472,1775828266
473,1672231783
474,1642437057
475,1604055645
476,4858
477,12959
478,14179
479,14817
480,1077931
481,2268199
482,2304712
483,3454469
484,7265461
485,8772861
486,13205682
487,16429890
488,17146414
489,21404053
490,27479337
491,31943529
492,33326329
493,46081823
494,46361216
495,51426038
496,56894545
497,80938738
498,89422622
499,93050747
500,102736682
501,107067661
502,117406740
503,119703650
504,123600715
505,135460516
506,179571006
507,191071372
508,241382269
509,257983557
510,294643667
511,315264365
512,338878325
513,367344113
514,427932788
515,474567089
516,503119673
517,517316189
518,517490690
519,572978243
520,603536215
521,608044155
522,685406695
523,697464252
524,703805638
525,712404430
526,712766368
527,761787882
528,808362966
529,914008745
530,939497067
531,992500170
532,993908911
533,994013452
534,1000364782
535,1013183194
536,1023653087
537,1033458766
538,1068126175
539,1068378899
540,1090349634
541,1093211566
542,1150205716
543,1246074000
544,1246890632
545,1247225147
546,1251333075
547,1276330217
548,1298700488
549,1321005325
550,1333796478
551,1368554866
552,1375630620
